concept,action_dim,corr_gt,count,corr_pred,diff
action:put,x,-0.03593216397802533,229,-0.03248732077588182,0.0034448432021435132
action:put,y,-0.02102955355299973,229,0.0727029789481499,0.09373253250114963
action:put,z,-0.06120196359871345,229,0.10872669410338981,0.16992865770210325
action:put,roll,-0.029161112476419896,229,0.16385340038376955,0.19301451286018945
action:put,pitch,0.0932139660120743,229,0.2038046969680336,0.11059073095595931
action:put,yaw,-0.02462337031275989,229,0.1901887941760952,0.21481216448885507
action:put,gripper,0.08800348854671855,229,0.15896887388458295,0.0709653853378644
verb:put,x,-0.034137368427708384,228,-0.031040701029218406,0.003096667398489978
verb:put,y,-0.021454899630546972,228,0.07067101335154438,0.09212591298209136
verb:put,z,-0.06604466184125134,228,0.10778865106317048,0.17383331290442183
verb:put,roll,-0.02733235848755215,228,0.1621955838407957,0.18952794232834783
verb:put,pitch,0.09653212416111398,228,0.20153424544587906,0.10500212128476508
verb:put,yaw,-0.02455305338881885,228,0.18723769275118748,0.21179074614000634
verb:put,gripper,0.08759729287296991,228,0.16037173453393205,0.07277444166096214
action:move,x,0.017580316201498854,193,-0.0019128821386586526,0.019493198340157506
action:move,y,0.03452537309094463,193,0.16199405731962752,0.12746868422868288
action:move,z,0.004657283335813715,193,0.12102267180718489,0.11636538847137118
action:move,roll,0.04314823929712403,193,0.241783743006003,0.19863550370887897
action:move,pitch,0.09698273962694473,193,0.31632483713653203,0.2193420975095873
action:move,yaw,-0.00230537799857403,193,0.2961278349924891,0.2984332129910632
action:move,gripper,0.10487176266979675,193,0.27812336023848927,0.17325159756869252
verb:move,x,0.013842693323915557,186,0.0052602119008544205,0.008582481423061138
verb:move,y,0.03228189589956592,186,0.16533361651107084,0.13305172061150491
verb:move,z,0.008395575688172341,186,0.12108187635881909,0.11268630067064675
verb:move,roll,0.04048602788068007,186,0.23080184718204808,0.190315819301368
verb:move,pitch,0.09531303646984471,186,0.30648457878095464,0.21117154231110993
verb:move,yaw,-0.005073528847355828,186,0.28110822025030163,0.2861817490976575
verb:move,gripper,0.10227709388282827,186,0.2515859170228809,0.14930882314005264
obj:cloth,x,-0.03609780630406293,154,-0.03063100028413222,0.005466806019930711
